Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_016904415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1314	Complete Genome	5702672	6	6	57	98.66	0.56	Pacbio; Illumina	SAMN16357456	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1310	Complete Genome	5592964	4	4	57	98.35	1.14	Pacbio; Illumina	SAMN16357452	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1310	Complete Genome	5592964	4	4	57	98.35	1.14	Pacbio; Illumina	SAMN16357452	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1320	Complete Genome	5271331	1	1	57.5	98.98	0.2	Pacbio; Illumina	SAMN16357462	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1320	Complete Genome	5271331	1	1	57.5	98.98	0.2	Pacbio; Illumina	SAMN16357462	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016925215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B960	Complete Genome	5506598	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17911762	blood	Homo sapiens	Bacteremia	India: Vellore	2021	PRJNA701798	Klebsiella pneumoniae strain:B960 | isolate:B960 Genome sequencing	2021-02-24
GCF_016925235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B1347	Complete Genome	5504416	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17911845	blood	Homo sapiens	Bacteremia	India: Vellore	2021	PRJNA701804	Klebsiella pneumoniae strain:B1347 | isolate:B1347 Genome sequencing	2021-02-24
GCF_016925275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B3824	Complete Genome	5505287	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17911903	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA701806	Klebsiella pneumoniae strain:B3824 | isolate:B3824 Genome sequencing	2021-02-24
GCF_016925295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B3923	Complete Genome	5504407	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17912169	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA701810	Klebsiella pneumoniae strain:B3923 | isolate:B3923 Genome sequencing	2021-02-24
GCF_016925315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B5617	Complete Genome	5841424	5	5	57	98.78	1.57	Illumina; Oxford Nanopore	SAMN17914336	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA701817	Klebsiella pneumoniae strain:B5617 | isolate:B5617 Genome sequencing	2021-02-24
GCF_016925355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B12097	Complete Genome	5493060	4	4	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17915080	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA701847	Klebsiella pneumoniae strain:B12097 | isolate:B12097 Genome sequencing	2021-02-24
GCF_016925375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B18064	Complete Genome	5506617	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN17915099	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA701849	Klebsiella pneumoniae strain:B18064 Genome sequencing	2021-02-24
GCF_016925415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B28484	Complete Genome	5507133	5	5	57	98.29	0.74	Illumina; Oxford Nanopore	SAMN17915109	blood	Homo sapiens	Bacteremia	India: Vellore	2014	PRJNA701851	Klebsiella pneumoniae strain:B28484 Genome sequencing	2021-02-24
GCF_016925435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B28906	Complete Genome	5450493	3	3	57.5	99.05	0.63	Illumina; Oxford Nanopore	SAMN17915140	blood	Homo sapiens	Bacteremia	India: Vellore	2014	PRJNA701854	Klebsiella pneumoniae strain:B28906 Genome sequencing	2021-02-24
GCF_016939535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP47693	Complete Genome	5516587	5	5	57	98.22	0.58	PacBio Sequel	SAMN16933269	swab from around the abdominal drainage	Homo sapiens	Idiopathic acute pancreatitis	Czech Republic: Praha	2018-11-26	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP51069	Complete Genome	5681342	5	5	57	97.64	0.19	PacBio Sequel	SAMN16933286	urine	Homo sapiens	Low back pain	Czech Republic: Tinec	2019-05-27	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP51248	Complete Genome	5600113	4	4	57	98.26	0.67	PacBio Sequel	SAMN16933289	rectal swab	Homo sapiens	Unspecified infectious diseases	Czech Republic: Ostrava	2019-06-14	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP52810	Complete Genome	5676569	4	4	57	99.06	0.29	PacBio Sequel	SAMN16933298	pressure ulcer swab	Homo sapiens	Acute respiratory failure	Czech Republic: Nymburk	2019-09-03	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP52813	Complete Genome	5725869	7	7	57	98.85	1.7	PacBio Sequel	SAMN16933300	sputum	Homo sapiens	Chronic respiratory failure	Czech Republic: Nymburk	2019-09-03	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939815.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPA4411	Complete Genome	5698780	5	5	57	98.69	0.55	PacBio Sequel	SAMN16933304	endotracheal cannula	Homo sapiens	Chronic respiratory failure	Czech Republic: Mstec Krlov	2019-06-17	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_016939835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPA9853	Complete Genome	5514856	4	4	57	98.22	0.58	PacBio Sequel	SAMN16933305	urine	Homo sapiens	Acute pancreatitis	Czech Republic: Mlnk	2019-10-08	PRJNA700516	Molecular characterization of KPC-producing Enterobacterales from Czech hospitals; evidence of an epidemic spread	2021-02-25
GCF_017084505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	JNQH116	Complete Genome	5650669	4	4	57	99.04	0.56	Oxford Nanopore MinION; Illumina NovaSeq	SAMN17976248	cerebrospinal fluid	Homo sapiens	meningitis	China	2020-04-20	PRJNA702614	Global studies of Carbapenem resistant enterobacteriaceae in China	2021-03-01
GCF_017086485.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	JS706	Complete Genome	5552158	3	3	57.5	98.72	0.41	PacBio Sequel	SAMN18017667		Homo sapiens		China	2020-12-10	PRJNA703416	Klebsiella pneumoniae Genome sequencing	2021-03-01
GCF_017161135.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EGKP3	Complete Genome	5794831	8	8	57	99.05	1.16	Oxford Nanopore MiniION and Illumina NovaSeq 6000	SAMN13497075	fecal isolate from poultry farm worker	Homo sapiens		Egypt	2015	PRJNA593981	Klebsiella Pneumoniae producing carbapenamese NDM-1, complete genome	2021-03-03
GCF_017161155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EGKP6	Complete Genome	5746424	6	6	57	98.94	1.02	Oxford Nanopore MiniION	SAMN14858807	feces from livestock farm	cattle		Egypt:Giza	2015	PRJNA593981	Klebsiella Pneumoniae producing carbapenamese NDM-1, complete genome	2021-03-03
GCF_017161485.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EGKP7	Complete Genome	5748078	6	6	57	98.94	1.02	Oxford Nanopore MiniION and Illumina NovaSeq 6000	SAMN14082726	chicken-internal organs from poultry farm	chicken		Egypt:Giza	2015	PRJNA593981	Klebsiella Pneumoniae producing carbapenamese NDM-1, complete genome	2021-03-03
GCF_017161505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EGKP4	Complete Genome	5761802	6	6	57	99.07	1.02	Oxford Nanopore MiniION and Illumina NovaSeq6000	SAMN14082702	fecal isolate from poultry farm worker	Homo sapiens		Egypt: Giza	2015	PRJNA593981	Klebsiella Pneumoniae producing carbapenamese NDM-1, complete genome	2021-03-03
GCF_017277455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IRQBAS102c	Complete Genome	5330065	1	1	57.5	98.29	0.4	Illumina	SAMN17897699	burn wounds	Homo sapiens	burn wound	Iraq: Basrah	2015-11-01	PRJNA701621	Global studies of microbial diversity from burn wounds	2021-03-07
GCF_017310305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR5065	Complete Genome	5773950	4	4	56.5	98.4	1.03	Illumina HiSeq	SAMN15676897	blood	Homo sapiens		China: Beijing	2013-04-29	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR5654	Complete Genome	5672130	5	5	57	99.07	0.28	Illumina HiSeq	SAMN15676890	urine	Homo sapiens		China: Beijing	2015-11-01	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310345.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR5726	Complete Genome	5801912	4	4	57	98.94	0.45	Illumina HiSeq	SAMN15676889	sputum	Homo sapiens		China: Beijing	2017-08-09	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310365.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	JNK002	Complete Genome	5859393	4	4	56.5	98.12	1.13	Illumina HiSeq	SAMN15676888	urine	Homo sapiens		China: Jinan	2015-11-10	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	LZK001	Complete Genome	5541471	5	5	57	97.97	0.58	Illumina HiSeq	SAMN15676887	bile	Homo sapiens		China: Lanzhou	2015-02-03	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR5755	Complete Genome	5797218	5	5	57	98.72	0.74	Illumina HiSeq	SAMN15676885	urine	Homo sapiens		China: Beijing	2018-04-13	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR5086	Complete Genome	5717198	5	5	57	98.29	0.73	Illumina HiSeq	SAMN15676882	sputum	Homo sapiens		China: Beijing	2014-02-11	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017310565.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IR1251	Complete Genome	5640168	4	4	57	97.41	0.61	PacBio RSII	SAMN17271112	sputum			China: Beijing	2015-04-23	PRJNA648010	Klebsiella pneumoniae Genome sequencing and assembly	2021-03-09
GCF_017315205.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	JS161205112	Complete Genome	5618722	2	2	57	98.46	0.74	PacBio	SAMN18106513	sputum	Homo sapiens	pneumonia	China: Shanghai	2016-12-05	PRJNA705944	Klebsiella pneumoniae strain:JS161205112 | isolate:JS161205112 Genome sequencing	2021-03-10
GCF_017351975.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	C2244	Complete Genome	5461348	1	1	57.5	98.03	0.25	PacBio; Illumina	SAMN18160617	sputum	Homo sapiens	pneumonia	China:Beijing	2017-05-07	PRJNA707017	Klebsiella pneumoniae strain:C2244 | isolate:C2244 Genome sequencing	2021-03-14
GCF_017357925.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	wxc2020	Complete Genome	5549316	3	3	57	98.45	0.92	Illumina MiSeqPacBio RSII	SAMN18103692	blood			China	2020-11-13	PRJNA705844	A Ceftazidime-Avibactam-Resistant  Klebsiella pneumoniae	2021-03-16
GCF_017639065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ESBL_DR09	Complete Genome	5601981	6	6	57	98.78	1.34	Illumina MiniSeq, Oxford Nanopore MinIon	SAMN17214843	imported food: chilli pepper			Switzerland: Zurich	2014	PRJNA689691	Genome sequencing of fosfomycin-resistant Enterobacteriaceae	2021-03-30
GCF_017742895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B33769	Complete Genome	5450492	3	3	57.5	99.05	0.63	Illumina; Oxford Nanopore	SAMN18478625	blood	Homo sapiens	Bacteremia	India: Vellore	2014	PRJNA717115	Klebsiella pneumoniae strain:B33769 Genome sequencing	2021-04-04
GCF_017742915.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B4650	Complete Genome	5505129	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN18478563	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA717121	Klebsiella pneumoniae strain:B4650 Genome sequencing	2021-04-04
GCF_017742935.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B32278	Complete Genome	5507145	9	9	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN18478623	blood	Homo sapiens	Bacteremia	India: Vellore	2014	PRJNA717116	Klebsiella pneumoniae strain:B32278 Genome sequencing	2021-04-04
GCF_017742955.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B13243	Complete Genome	5505287	5	5	57	98.33	0.74	Illumina; Oxford Nanopore	SAMN18478480	blood	Homo sapiens	Bacteremia	India: Vellore	2015	PRJNA717133	Klebsiella pneumoniae strain:B13243 Genome sequencing	2021-04-04
GCF_017743095.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN236	Complete Genome	5628645	2	2	57	98.69	0.28	Illumina HiSeq	SAMN18450111	sputum	Homo sapiens		China:Zhanjiang	2020-11-15T16:41:17Z	PRJNA716566	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-04
GCF_017743115.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN246	Complete Genome	5530510	2	2	57	98.28	0.94	Illumina HiSeq	SAMN18450112	sputum	Homo sapiens		China:Zhanjiang	2020-11-15T16:56:40Z	PRJNA716566	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-04
GCF_017743135.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN247	Complete Genome	5514453	4	4	57.5	99.07	0.58	Illumina HiSeq	SAMN18450113	sputum	Homo sapiens		China:Zhanjiang	2020-11-15T17:22:34Z	PRJNA716566	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-04
GCF_017809835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP1517	Complete Genome	5864329	4	4	57	98.03	1.03	PacBio; Illumina	SAMN15052358	urine	Homo sapiens	Urinary tract infections	China: Tianjin	2018-11-19	PRJNA635754	Resistance Mechanism of a Pan-Resistant Isolate of Klebsiella pneumoniae, China, 2018	2021-04-06
GCF_017815715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN234	Complete Genome	5431899	2	2	57.5	98.55	0.39	Illumina HiSeq	SAMN18450110	sputum	Homo sapiens		China:Zhanjiang	2020-11-15T16:39:37Z	PRJNA716566	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-07
GCF_017815795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	M297-1	Complete Genome	5750384	3	3	57	98.49	1.76	Oxford Nanopore	SAMN14590646	feces	red kangaroo		China:Zhengzhou	2019-01	PRJNA624988	Klebsiella pneumoniae strain:M297-1 Genome sequencing	2021-04-07
GCF_017894285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP486	Complete Genome	5716642	3	3	57	98.8	1.46	Illumina HiSeq; PacBio RSII	SAMN14897098	clinical			Poland: Wroclaw	2003	PRJNA631924	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-09
GCF_017894305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP77	Complete Genome	5704030	3	3	57	98.94	1.61	Illumina HiSeq; PacBio RSII	SAMN14897097	clinical			Poland: Wroclaw	2003	PRJNA631924	Klebsiella pneumoniae Genome sequencing and assembly	2021-04-09
GCF_017916195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IRQBAS103c	Complete Genome	5540657	1	1	57	98.29	0.86	Sanger	SAMN18594533	burn wound	Homo sapiens	burn wound	Iraq: Basrah	2015-11-01	PRJNA719286	Global studies of microbial diversity from burn wounds	2021-04-13
GCF_017916215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IRQBAS105c	Complete Genome	5201616	1	1	57.5	98.22	0.42	Illumina	SAMN18603978	burn wound	Homo sapiens	Burn wounds of human	Iraq	2015-11-01	PRJNA719361	Global studies of microbial diversity from burn wounds	2021-04-13
GCF_018069685.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP2723	Complete Genome	6026455	3	3	56.5	98.42	4.14	Illumina HiSeq; PacBio	SAMN18678957	missing	Homo sapiens		China:Zhejiang	2015/2017	PRJNA720753	Klebsiella pneumoniae strain:KP2723 Genome sequencing	2021-04-18
GCF_018075325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP1878	Complete Genome	5830905	6	6	57	97.95	0.41	Illumina HiSeq; PacBio	SAMN18696713	missing	Homo sapiens		China:Zhejiang	2015/2017	PRJNA721027	Klebsiella pneumoniae strain:KP1878 Genome sequencing	2021-04-19
GCF_018128445.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	3347684I	Complete Genome	5689667	6	6	57	99.02	1.37	Illumina NovaSeq; Oxford Nanopore MiniION	SAMN17736023	central nervous catheter	Homo sapiens	missing	Switzerland	2020	PRJNA698767	Polycolonization with MDR bacteria in a patient transferred from intensive care unit	2021-04-22
GCF_018128465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	3347689I	Complete Genome	5857083	4	4	57	98.77	1.79	Illumina NovaSeq; Oxford Nanopore MiniION	SAMN17736022	outer malleolus	Homo sapiens	missing	Switzerland	2020	PRJNA698767	Polycolonization with MDR bacteria in a patient transferred from intensive care unit	2021-04-22
GCF_018138305.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP4823	Complete Genome	5445519	5	5	57	98.29	0.74	Oxford Nanopore; Illumina NovaSeq	SAMN18789105	urine	Homo sapiens	Missing	China: Yiwu	2019-02-28	PRJNA553055	Klebsiella pneumoniae genome sequencing	2021-09-09
GCF_018140905.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SW1780	Complete Genome	5628415	3	3	57.5	99.07	0.38	Illumina HiSeq	SAMN18793569		Homo sapiens		China	2019	PRJNA722802	Klebsiella pneumoniae strain:SW1780 Genome sequencing	2021-04-27
GCF_018274525.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SCPM-O-B-8912 (11PKP/19a)	Complete Genome	6137108	7	7	56.5	97.72	1.41	Oxford Nanopore MinION; Illumina MiSeq	SAMN18878033	intestine	Homo sapiens		Russia: Moscow	2019-10-18	PRJNA269675	Pathogenic microorganism Genome sequencing	2021-11-22
GCF_018278725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	IRQBAS106c-genome	Complete Genome	5463862	1	1	57	98.29	0.86	Illumina	SAMN18857597	burn wound	Homo sapiens	burn wound	Iraq: Basrah	2015-11-01	PRJNA724744	Global studies of microbial diversity on human wounds	2021-05-05
GCF_018279185.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn 1693	Complete Genome	5593962	3	3	57	98.01	0.35	PacBio	SAMN13741660	sputum	Homo sapiens	Bronchiectasis	China:Hebei, Zhangjiakou	2016-09-15	PRJNA599216	Klebsiella pneumoniae strain:Kpn 1693 Genome sequencing and assembly	2021-05-05
GCF_018279325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP2509	Complete Genome	6011248	6	6	56.5	99.07	0.54	Oxford Nanopore MinION; Illumina HiSeq	SAMN17053394	not applicable	Homo sapiens	not applicable	Taiwan	not applicable	PRJNA549322	Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB). Genome sequencing and assembly	2021-05-05
GCF_018283575.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SCPM-O-B-8919 (12PKP/19c)	Complete Genome	5967833	6	6	56.5	97.7	1.41	Oxford Nanopore MinION; Illumina MiSeq	SAMN18878040	intestine	Homo sapiens		Russia: Moscow	2019-10-31	PRJNA269675	Pathogenic microorganism Genome sequencing	2022-05-10
GCF_018314115.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	HK31	Complete Genome	5798004	4	4	57	97.25	1.42	Illumina NextSeq; Nanopore MinION	SAMN18898379		homo		Hong Kong	2016	PRJNA725664	Klebsiella pneumoniae strain:HK31 Genome sequencing	2021-05-10
GCF_018336835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP55	Complete Genome	5936312	8	8	57	98.68	0.56	Oxford Nanopore	SAMN15234688	sputum	Homo sapiens	cardiac failure	China: Hangzhou	2020-04	PRJNA639385	Klebsiella pneumoniae strain:KP55 Genome sequencing	2021-05-11
GCF_018394355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	B30155	Complete Genome	5450289	4	4	57.5	99.05	0.63	Illumina; Oxford Nanopore	SAMN19104983	blood	Homo sapiens	Bacteremia	India: Vellore	2014	PRJNA728855	Klebsiella pneumoniae strain:B30155 Genome sequencing	2021-05-18
GCF_018449045.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SZP4-9-2	Complete Genome	5907503	6	6	56.5	98.55	1.91	Oxford Nanopore MiniION; Illumina HiSeq	SAMN19107292	pork			China: Shenzhen, guangdong province	2019-05	PRJNA719697	A group of tmexCD1-toprJ1 positive strains Genome sequencing and assembly	2021-05-23
GCF_018449065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	YTF44-1	Complete Genome	5729997	6	6	57	99.04	0.71	Oxford Nanopore MiniION; Illumina HiSeq	SAMN19107302	a feces sample of swine origin			China: Yangzhou, jiangsu province	2020-07	PRJNA719697	A group of tmexCD1-toprJ1 positive strains Genome sequencing and assembly	2021-05-23
GCF_018454365.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DD521	Complete Genome	5748663	5	5	57	98.28	1.3	Illumina HiSeq; Oxford Nanopore	SAMN19073635	hospital	Homo sapiens	pneumonia	China: Lushi County, Sanmenxia City, Henan Provience	2021-01-12	PRJNA728250	Complete genome sequencing of two pathogens isolated from a sputum sample	2021-05-24
GCF_018487825.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	RGF20-1	Complete Genome	5886962	4	4	56.5	98.92	1.81	Oxford Nanopore MiniION; Illumina HiSeq	SAMN19107294	a feces sample of swine origin			China: Nantong, jiangsu province	2019-05	PRJNA719697	A group of tmexCD1-toprJ1 positive strains Genome sequencing and assembly	2021-05-25
